node,mean,sd,MC error,2.50%,median,97.50%,start,sample
"delta.centred[11,11]",-0.05455,0.0101,7.60E-05,-0.07437,-0.05461,-0.03444,15001,40000
"delta.centred[11,12]",-0.03729,0.01025,8.25E-05,-0.05724,-0.03726,-0.0171,15001,40000
"delta.centred[12,1]",-0.05985,0.01248,1.03E-04,-0.08428,-0.05984,-0.03538,15001,40000
"delta.centred[12,2]",-0.0619,0.01179,9.45E-05,-0.08518,-0.06181,-0.03887,15001,40000
"delta.centred[12,3]",0.06754,0.01436,1.19E-04,0.03929,0.06751,0.09544,15001,40000
"delta.centred[12,4]",0.05003,0.01447,1.19E-04,0.02172,0.04993,0.07845,15001,40000
"delta.centred[12,5]",0.02493,0.0148,1.17E-04,-0.004286,0.02511,0.05384,15001,40000
"delta.centred[12,6]",-0.006518,0.01378,1.15E-04,-0.03347,-0.006484,0.02067,15001,40000
"delta.centred[12,7]",-0.002538,0.01285,9.95E-05,-0.02763,-0.002499,0.02271,15001,40000
"delta.centred[12,8]",2.96E-04,0.01272,9.39E-05,-0.02464,3.03E-04,0.0252,15001,40000
"delta.centred[12,9]",-0.01217,0.01249,1.09E-04,-0.03653,-0.01228,0.01243,15001,40000
"delta.centred[12,10]",0.04282,0.01201,9.67E-05,0.01918,0.04279,0.06643,15001,40000
"delta.centred[12,11]",0.02726,0.01178,9.01E-05,0.004141,0.0272,0.05051,15001,40000
"delta.centred[12,12]",-0.06989,0.01271,1.02E-04,-0.09452,-0.06992,-0.04501,15001,40000
"delta.centred[13,1]",0.01171,0.01014,7.85E-05,-0.008108,0.01169,0.0315,15001,40000
"delta.centred[13,2]",-0.03041,0.00982,7.36E-05,-0.04968,-0.03035,-0.0114,15001,40000
"delta.centred[13,3]",-0.06079,0.01255,1.07E-04,-0.08548,-0.0608,-0.03639,15001,40000
"delta.centred[13,4]",-0.05181,0.01248,9.62E-05,-0.07642,-0.05179,-0.02743,15001,40000
"delta.centred[13,5]",-0.06004,0.0128,1.10E-04,-0.08511,-0.05998,-0.0348,15001,40000
"delta.centred[13,6]",-0.004573,0.01153,9.03E-05,-0.02712,-0.004525,0.01785,15001,40000
"delta.centred[13,7]",0.0175,0.01076,7.70E-05,-0.003661,0.01758,0.03855,15001,40000
"delta.centred[13,8]",0.06955,0.01043,7.38E-05,0.04909,0.06949,0.08992,15001,40000
"delta.centred[13,9]",0.07648,0.01007,7.99E-05,0.05691,0.07649,0.0963,15001,40000
"delta.centred[13,10]",0.06187,0.009991,8.37E-05,0.04219,0.06185,0.0814,15001,40000
"delta.centred[13,11]",-0.01386,0.01015,8.16E-05,-0.03381,-0.01383,0.005971,15001,40000
"delta.centred[13,12]",-0.01563,0.01055,8.28E-05,-0.03632,-0.01561,0.005106,15001,40000
"delta.centred[14,1]",0.04797,0.01298,9.88E-05,0.0225,0.048,0.07319,15001,40000
"delta.centred[14,2]",0.04315,0.01215,9.09E-05,0.01909,0.04318,0.06655,15001,40000
"delta.centred[14,3]",-0.01603,0.01578,1.32E-04,-0.04702,-0.01617,0.01492,15001,40000
"delta.centred[14,4]",-0.003511,0.01563,1.29E-04,-0.03445,-0.003526,0.02688,15001,40000
"delta.centred[14,5]",0.03103,0.01583,1.30E-04,1.03E-04,0.03104,0.06249,15001,40000
"delta.centred[14,6]",-0.03462,0.01477,1.24E-04,-0.06361,-0.03469,-0.005572,15001,40000
"delta.centred[14,7]",-0.03082,0.01388,1.07E-04,-0.05827,-0.03086,-0.003517,15001,40000
"delta.centred[14,8]",-0.03661,0.01375,1.06E-04,-0.0637,-0.03662,-0.009664,15001,40000
"delta.centred[14,9]",-0.03555,0.01355,1.17E-04,-0.0621,-0.0355,-0.009159,15001,40000
"delta.centred[14,10]",-0.0159,0.01324,9.95E-05,-0.04201,-0.01586,0.009657,15001,40000
"delta.centred[14,11]",0.01906,0.01279,9.76E-05,-0.006058,0.01908,0.04414,15001,40000
"delta.centred[14,12]",0.03183,0.01329,1.01E-04,0.005619,0.03192,0.05775,15001,40000
"delta.centred[15,1]",6.82E-04,0.01251,9.46E-05,-0.02366,5.94E-04,0.02549,15001,40000
"delta.centred[15,2]",0.06848,0.01172,9.60E-05,0.04543,0.06846,0.09155,15001,40000
"delta.centred[15,3]",-0.08829,0.01611,1.35E-04,-0.1201,-0.08807,-0.05719,15001,40000
"delta.centred[15,4]",-0.0689,0.01617,1.27E-04,-0.1009,-0.0688,-0.03738,15001,40000
"delta.centred[15,5]",-0.05649,0.0163,1.27E-04,-0.08828,-0.0564,-0.02466,15001,40000
"delta.centred[15,6]",-0.07722,0.01502,1.21E-04,-0.107,-0.07718,-0.04809,15001,40000
"delta.centred[15,7]",-0.01065,0.01365,1.07E-04,-0.03743,-0.01055,0.01607,15001,40000
"delta.centred[15,8]",0.1082,0.0129,9.98E-05,0.08282,0.1082,0.1333,15001,40000
"delta.centred[15,9]",0.05992,0.01281,9.68E-05,0.03467,0.05989,0.0851,15001,40000
"delta.centred[15,10]",0.06191,0.01249,9.22E-05,0.03733,0.06195,0.08616,15001,40000
"delta.centred[15,11]",0.02668,0.01235,9.83E-05,0.002361,0.02668,0.05081,15001,40000
"delta.centred[15,12]",-0.02432,0.01298,9.98E-05,-0.04966,-0.0243,0.001162,15001,40000
"delta.centred[16,1]",-0.01868,0.01063,8.46E-05,-0.03929,-0.01871,0.00205,15001,40000
"delta.centred[16,2]",-0.02997,0.01039,8.79E-05,-0.05039,-0.02989,-0.009834,15001,40000
"delta.centred[16,3]",0.0692,0.01295,1.01E-04,0.04371,0.06914,0.09458,15001,40000
"delta.centred[16,4]",0.006587,0.01317,1.06E-04,-0.01937,0.006608,0.03225,15001,40000
"delta.centred[16,5]",0.01043,0.01337,1.07E-04,-0.01547,0.01038,0.03667,15001,40000
"delta.centred[16,6]",0.05271,0.01208,9.61E-05,0.029,0.05276,0.07631,15001,40000
"delta.centred[16,7]",0.006913,0.01162,9.43E-05,-0.01586,0.006988,0.02961,15001,40000
"delta.centred[16,8]",-0.007137,0.01135,9.53E-05,-0.02924,-0.007091,0.01496,15001,40000
"delta.centred[16,9]",-0.04171,0.01121,9.04E-05,-0.0638,-0.04168,-0.0197,15001,40000
"delta.centred[16,10]",-0.05179,0.01094,8.35E-05,-0.07332,-0.05179,-0.03042,15001,40000
"delta.centred[16,11]",-0.01041,0.01065,8.16E-05,-0.03135,-0.01042,0.01037,15001,40000
"delta.centred[16,12]",0.01385,0.01079,8.63E-05,-0.007468,0.01391,0.03491,15001,40000
"delta.centred[17,1]",0.01047,0.0104,7.59E-05,-0.009803,0.01039,0.03089,15001,40000
"delta.centred[17,2]",0.01775,0.00997,7.61E-05,-0.001876,0.01776,0.03728,15001,40000
"delta.centred[17,3]",0.03951,0.01251,9.82E-05,0.015,0.03948,0.06398,15001,40000
"delta.centred[17,4]",0.04865,0.0126,1.08E-04,0.02364,0.04865,0.07324,15001,40000
"delta.centred[17,5]",0.0148,0.01302,1.04E-04,-0.01067,0.01495,0.04005,15001,40000
"delta.centred[17,6]",-0.0435,0.01205,9.12E-05,-0.06736,-0.04351,-0.01973,15001,40000
"delta.centred[17,7]",-0.03185,0.01139,8.66E-05,-0.05422,-0.03179,-0.009635,15001,40000
"delta.centred[17,8]",-0.05195,0.01121,8.64E-05,-0.07395,-0.05184,-0.02986,15001,40000
"delta.centred[17,9]",-0.0286,0.01085,8.70E-05,-0.04974,-0.02855,-0.007425,15001,40000
"delta.centred[17,10]",-0.005371,0.0106,7.92E-05,-0.0262,-0.005274,0.01537,15001,40000
"delta.centred[17,11]",0.003532,0.01032,7.81E-05,-0.01685,0.003546,0.02358,15001,40000
"delta.centred[17,12]",0.02656,0.01055,9.19E-05,0.005898,0.02656,0.04731,15001,40000
"delta.centred[18,1]",-0.07933,0.01144,9.08E-05,-0.1017,-0.07932,-0.05698,15001,40000
"delta.centred[18,2]",-0.03403,0.01087,8.27E-05,-0.05527,-0.03398,-0.01265,15001,40000
"delta.centred[18,3]",0.0132,0.01353,1.08E-04,-0.0134,0.01325,0.03976,15001,40000
"delta.centred[18,4]",0.05305,0.0135,9.96E-05,0.02623,0.05298,0.07927,15001,40000
"delta.centred[18,5]",0.0486,0.01375,1.10E-04,0.02164,0.04864,0.07558,15001,40000
"delta.centred[18,6]",0.07359,0.01237,9.40E-05,0.04938,0.07363,0.09793,15001,40000
"delta.centred[18,7]",0.05248,0.01171,9.55E-05,0.02944,0.05254,0.07531,15001,40000
"delta.centred[18,8]",0.03822,0.01157,9.29E-05,0.01512,0.03826,0.06056,15001,40000
"delta.centred[18,9]",0.01404,0.01131,8.13E-05,-0.008385,0.0141,0.03595,15001,40000
"delta.centred[18,10]",0.002263,0.01119,8.95E-05,-0.01967,0.002287,0.02401,15001,40000
"delta.centred[18,11]",-0.07036,0.01133,8.54E-05,-0.09241,-0.07043,-0.048,15001,40000
"delta.centred[18,12]",-0.1117,0.01191,9.14E-05,-0.1352,-0.1117,-0.08844,15001,40000
"delta.centred[19,1]",-0.01683,0.01406,1.14E-04,-0.04472,-0.01681,0.0107,15001,40000
"delta.centred[19,2]",-0.01087,0.01325,1.11E-04,-0.03687,-0.0108,0.015,15001,40000
"delta.centred[19,3]",0.01263,0.01678,1.25E-04,-0.02028,0.01277,0.04536,15001,40000
"delta.centred[19,4]",-0.05522,0.01718,1.52E-04,-0.08892,-0.05528,-0.02159,15001,40000
"delta.centred[19,5]",-0.06074,0.01755,1.48E-04,-0.09542,-0.06056,-0.02679,15001,40000
"delta.centred[19,6]",0.01405,0.01565,1.13E-04,-0.01705,0.01422,0.04432,15001,40000
"delta.centred[19,7]",0.02709,0.01472,1.12E-04,-0.001765,0.02708,0.05594,15001,40000
"delta.centred[19,8]",-0.01222,0.01457,1.22E-04,-0.0409,-0.01209,0.01606,15001,40000
"delta.centred[19,9]",0.04193,0.01417,1.17E-04,0.01401,0.04197,0.06974,15001,40000
"delta.centred[19,10]",0.06132,0.01372,1.13E-04,0.03459,0.06127,0.08825,15001,40000
"delta.centred[19,11]",0.03613,0.01365,1.24E-04,0.009318,0.03611,0.06303,15001,40000
"delta.centred[19,12]",-0.03727,0.01442,1.09E-04,-0.06564,-0.03715,-0.009268,15001,40000
"delta.centred[20,1]",0.04755,0.01497,1.14E-04,0.01808,0.04748,0.0766,15001,40000
"delta.centred[20,2]",0.01621,0.01418,1.11E-04,-0.01147,0.01624,0.04388,15001,40000
"delta.centred[20,3]",0.03054,0.01764,1.38E-04,-0.0035,0.03049,0.06537,15001,40000
"delta.centred[20,4]",0.03077,0.01751,1.44E-04,-0.003595,0.03085,0.06502,15001,40000
